ip,anonymityLevel,asn,country,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,isp,responseTime
"92.205.61.117","elite","AS21499","FR","11","Go Daddy Netherlands B.V","57704","socks4","1","70","1516","2151","2025-01-21T17:34:02.192Z","Host Europe GmbH","4304"
"146.120.70.176","elite","AS42518","RU","41","Unet Communication LLC","59418","socks4","1","100","1709","1710","2025-01-21T17:34:02.198Z","Unet Communication LLC","2898"
"203.76.222.5","elite","AS134204","BD","184","N/A","5678","socks4","1","84","7435","8833","2025-01-21T17:34:02.106Z","BUSINESSNETWORK","3687"
"47.242.53.34","elite","AS45102","HK","298","Hong Kong","39427","socks5","1","86","7571","8805","2025-01-21T17:34:02.104Z","Alibaba.com LLC","4798"
"45.127.62.19","elite","AS38794","TH","181","United Information Highway Co., Ltd","8897","socks4","3","99","495","502","2025-01-21T17:34:02.101Z","United Information Highway Co., Ltd.","453"
"92.205.28.187","elite","AS21499","FR","10","GD MASS Network","8011","socks4","1","71","1540","2168","2025-01-21T17:34:02.109Z","Host Europe GmbH","1394"
"162.241.46.40","elite","AS19871","US","95","Unified Layer","60708","socks4","1","100","982","984","2025-01-21T17:34:02.194Z","Network Solutions, LLC","262"
"103.251.83.61","elite","AS45804","IN","150","M.B. Corporation","8080","socks5","2","95","8299","8780","2025-01-21T17:34:02.196Z","M.B. Corporation","3604"
"121.147.3.119","elite","AS4766","KR","233","Kornet","56452","socks5","3","99","1923","1940","2025-01-21T17:34:01.297Z","Korea Telecom","1162"
"186.251.255.213","elite","AS267513","BR","217","Seanet Telecom Carazinho Eireli","31337","socks4","1","100","8841","8869","2025-01-21T17:34:01.095Z","Seanet Telecom Carazinho Eireli","2792"
"186.103.143.214","elite","AS15311","CL","208","Fundacion educacional colegio Santa Maria de Cerve","4153","socks4","1","21","1918","8952","2025-01-21T17:34:01.201Z","Telefonica Empresas Chile SA","3700"
"46.167.234.141","elite","AS16019","CZ","44","Tkom Plus sro","5678","socks4","1","100","8759","8791","2025-01-21T17:34:01.395Z","UPC Czech","1698"
"136.243.148.97","elite","AS24940","DE","24","Hetzner","25928","socks4","1","66","5802","8764","2025-01-21T17:34:01.098Z","Hetzner Online GmbH","1608"
"171.247.243.81","elite","AS7552","VN","226","VIETEL","1080","socks4","1","81","1595","1966","2025-01-21T17:34:01.108Z","Viettel Corporation","4308"
"211.144.20.13","elite","AS4808","CN","156","Bgtelecom","8080","socks4","1","93","8230","8805","2025-01-21T17:34:01.097Z","BGTELECOM","1104"
"195.116.155.169","elite","AS5617","PL","36","TPNET Hurt","3629","socks4","2","100","1835","1840","2025-01-21T17:34:01.106Z","Orange Polska Spolka Akcyjna","4498"
"81.16.248.246","elite","AS34666","GE","149","JSC \"Global Erty\"","25566","socks4","1","98","2130","2184","2025-01-21T17:34:01.091Z","JSC \"Global Erty\"","3501"
"67.168.245.6","elite","AS7922","US","197","Comcast Cable Communications, IP Services","48331","socks4","2","97","8544","8829","2025-01-21T17:34:01.103Z","Comcast Cable Communications, LLC","551"
"110.78.82.70","elite","N/A","TH","190","N/A","5678","socks4","1","85","1846","2183","2025-01-21T17:34:01.393Z","CAT Telecom Public Company Limited","1005"
"102.64.116.1","elite","AS328500","CG","196","A.M.C Telecom","4145","socks4","1","98","8726","8893","2025-01-21T17:34:01.303Z","A.M.C Telecom","1302"
"93.48.228.247","elite","AS12874","IT","59","Fastweb Internet NGA","4153","socks4","1","99","8825","8900","2025-01-21T17:34:01.294Z","Fastweb SpA","5003"
"103.59.203.201","elite","AS134014","IN","122","NET 4 U Services PVT LTD","4145","socks4","3","99","8834","8906","2025-01-21T17:34:01.415Z","NET 4 U SERVICES PVT LTD","1796"
"192.111.139.165","elite","AS46562","US","131","Total Server Solutions L.L.C.","4145","socks4","1","99","405","410","2025-01-21T17:34:01.419Z","Performive LLC","331"
"185.158.114.14","elite","AS44812","RU","52","IT Expert LLC","25616","socks4","89","96","2083","2166","2025-01-21T17:34:01.198Z","IpServer","2598"
"116.99.229.3","elite","AS24086","VN","276","Viettel Group","24026","socks4","2","93","787","847","2025-01-21T17:34:01.407Z","Viettel Corporation","4991"
"147.139.199.251","elite","AS45102","ID","182","Alibaba Cloud - ID","61524","socks5","2","99","8854","8903","2025-01-21T17:34:01.410Z","Alibaba Cloud LLC","4914"
"84.236.32.196","elite","AS20845","HU","28","Digi","8080","socks4","1","73","6451","8841","2025-01-21T17:34:01.209Z","DIGI Tavkozlesi es Szolgaltato Kft.","3002"
"8.219.210.64","elite","AS45102","SG","190","Alibaba.com Singapore E-Commerce Private Limited","80","socks4","82","38","599","1566","2025-01-21T17:34:01.418Z","Alibaba Cloud (Singapore) Private Limited","1193"
"103.108.87.145","elite","AS137301","ID","207","Poltekkes Kemenkes Yogyakarta","1080","socks4","2","99","1514","1524","2025-01-21T17:34:01.203Z","Poltekkes Kemenkes Yogyakarta","2406"
"195.74.72.111","elite","AS35004","UA","88","Netgroup","5678","socks4","1","89","1789","2012","2025-01-21T17:34:01.105Z","Branch Enterprise \"Netgroup-Service\"","1602"
"95.182.78.9","elite","AS50648","UA","65","PE UAinet","5678","socks4","3","100","1498","1499","2025-01-21T17:34:00.897Z","PE UAinet","5209"
"119.29.84.133","elite","AS45090","CN","285","Tencent cloud computing (Beijing) Co., Ltd.","20806","socks5","1","87","7708","8824","2025-01-21T17:34:00.895Z","Shenzhen Tencent Computer Systems Company Limited","3397"
"110.34.166.183","elite","AS35908","SG","195","N/A","4153","socks4","81","99","8869","8925","2025-01-21T17:34:00.902Z","Krypt Technologies","1600"
"213.32.254.10","elite","AS206206","IQ","85","N/A","4153","socks4","1","99","8827","8933","2025-01-21T17:34:00.908Z","Kurdistan Net 3","4790"
"162.240.212.185","elite","AS46606","US","190","Unified Layer","59991","socks4","1","100","2059","2061","2025-01-21T17:33:50.106Z","Unified Layer","4703"
"192.169.140.98","elite","AS398101","US","191","GoDaddy.com, LLC","45739","socks4","1","100","2154","2159","2025-01-21T17:33:50.104Z","GoDaddy.com, LLC","2688"
"23.236.188.20","elite","AS55286","US","88","B2 Net Solutions Inc","3128","socks4","2","100","1801","1801","2025-01-21T17:33:50.103Z","B2 Net Solutions Inc.","1203"
"177.66.243.89","elite","AS53005","BR","254","Connect Telecomunicacoes Ltda","5678","socks4","1","100","1972","1979","2025-01-21T17:33:50.101Z","Rede Connect Telecom","700"
"149.20.253.126","elite","AS18615","US","96","Mainstream Fiber Networks, LLC","12551","socks4","1","100","8901","8917","2025-01-21T17:33:50.108Z","Mainstream Fiber Networks, LLC","2201"
"102.39.161.31","elite","AS11845","ZA","170","Vox Telecom (Pty) Ltd","8080","socks4","1","47","721","1530","2025-01-21T17:33:49.593Z","Vox Telecommunications (Pty) Limited","704"
"45.196.151.84","elite","AS7018","US","95","AQUA Networks Limited","5432","socks4","1","99","8753","8873","2025-01-21T17:33:49.604Z","AT&T Services, Inc.","1399"
"172.67.75.17","elite","AS13335","CA","2","Cloudflare, Inc.","80","socks4","1","100","1533","1533","2025-01-21T17:33:49.792Z","Cloudflare, Inc.","2700"
"162.253.68.97","elite","AS46562","US","182","Performive LLC","4145","socks4","1","97","1483","1534","2025-01-21T17:33:49.597Z","Performive LLC","2996"
"198.23.143.24","elite","AS36352","US","90","ColoUp","6969","socks5","2","100","2165","2167","2025-01-21T17:33:49.600Z","HostPapa","3506"
"119.199.225.148","elite","AS4766","KR","239","busanbonbujang(kones)","4145","socks5","1","92","8189","8890","2025-01-21T17:33:49.790Z","Korea Telecom","658"
"165.225.80.214","elite","AS62044","GB","13","Zscaler, Inc.","10605","socks4","3","95","8495","8942","2025-01-21T17:33:49.590Z","Zscaler Switzerland GmbH","3208"
"185.220.226.235","elite","AS205585","TR","89","Noyan Abr Arvan Co. ( Private Joint Stock)","808","socks4","1","89","7824","8790","2025-01-21T17:33:49.794Z","Noyan Abr Arvan Co. ( Private Joint Stock)","2592"
"181.79.234.90","transparent","AS27932","HN","192","Redes y Telecomunicaciones","999","http","15700","93","13","14","2025-01-21T17:33:49.798Z","Redes y Telecomunicaciones","2914"
"177.85.205.177","elite","AS52554","BR","187","S. A. da Silva Junior","3629","socks4","1","99","609","613","2025-01-21T17:33:32.401Z","S. A. da Silva Junior","4404"
"185.170.233.109","elite","AS206912","CY","61","Infra","47574","socks4","1","100","2018","2019","2025-01-21T17:33:32.203Z","Superdach LTD","1191"
"41.60.233.192","elite","AS30844","KE","146","Liquid Telecommunications Operations Limited","8080","socks4","1","86","7607","8799","2025-01-21T17:33:32.894Z","Maintainer Liquid Telecommunications Operations Limited","73"
"88.135.42.241","elite","AS57391","IR","93","Laser IDC","4153","socks4","1","42","3752","8835","2025-01-21T17:33:32.896Z","Laser Company Ltd","1004"
"138.36.171.244","elite","AS262300","BR","186","Super Connect Telecom Ltda","7497","socks5","2","57","5033","8852","2025-01-21T17:33:32.806Z","Super Connect Telecom Ltda","2699"
"75.119.203.97","elite","AS26347","US","199","New Dream Network, LLC","32524","socks5","2","68","6055","8914","2025-01-21T17:33:32.403Z","New Dream Network, LLC","3696"
"178.32.116.232","elite","AS16276","FR","6","OVH ISP","57123","socks5","3","100","8796","8796","2025-01-21T17:33:32.890Z","OVH SAS","1496"
"162.243.184.21","elite","AS14061","US","93","Digital Ocean","10000","socks4","1","100","1569","1569","2025-01-21T17:33:32.291Z","DigitalOcean, LLC","4806"
"104.19.83.128","elite","AS13335","US","2","American Registry Internet Numbers","80","socks4","1","100","8752","8752","2025-01-21T17:33:32.399Z","American Registry Internet Numbers","487"
"103.78.54.13","elite","AS135654","BD","197","N/A","4153","socks4","1","96","2107","2197","2025-01-21T17:33:32.394Z","Internet @ Home Limited","790"
"171.248.215.206","elite","AS7552","VN","208","VIETEL","1080","socks4","2","62","1321","2124","2025-01-21T17:33:32.405Z","Viettel Corporation","2001"
"103.109.59.209","elite","AS138640","BD","267","Hello Tech Limited","1080","socks4","1","98","8712","8884","2025-01-21T17:33:32.397Z","HelloTech Limited","3491"
"124.122.137.249","elite","AS17552","TH","193","TRUE BB","4153","socks4","1","78","6829","8765","2025-01-21T17:33:32.402Z","True Internet Co., Ltd.","3124"
"157.245.210.217","elite","AS14061","US","86","DigitalOcean, LLC","37864","socks4","85","100","8896","8916","2025-01-21T17:33:17.299Z","DigitalOcean, LLC","2399"
"202.137.17.151","elite","AS9905","ID","162","N/A","5678","socks4","1","97","8650","8882","2025-01-21T17:33:17.296Z","LINKNET","4503"
"185.162.231.178","elite","AS209242","GB","12","Softconstruct Limited","80","socks4","1","100","2058","2058","2025-01-21T17:33:16.598Z","Cloudflare London, LLC","703"
"47.100.19.147","elite","AS37963","CN","216","Aliyun Computing Co., LTD","3129","socks4","1","83","7324","8824","2025-01-21T17:33:16.296Z","Addresses CNNIC","3109"
"167.99.80.74","elite","AS14061","GB","81","DigitalOcean, LLC","8080","socks4","1","100","8870","8880","2025-01-21T17:33:16.399Z","DigitalOcean, LLC","2893"
"190.196.19.129","elite","AS14259","CL","209","Gtd Internet S.A","3128","socks4","1","100","1605","1606","2025-01-21T17:33:16.600Z","Gtd Internet S.A.","2185"
"103.31.250.97","elite","AS58477","ID","230","N/A","80","socks4","1","93","1916","2054","2025-01-21T17:33:16.498Z","ARGON","553"
"213.74.223.85","elite","AS34984","TR","48","Hipernet Bilisim VE Telekomunikasyon Hizmetleri Sanayi VE Ticaret Limited","4153","socks4","1","100","2058","2061","2025-01-21T17:33:16.291Z","Superonline Iletisim Hizmetleri A.S.","559"
"91.226.51.200","elite","AS49785","PL","36","P.P.H.U AWIST","4145","socks4","2","53","4752","8930","2025-01-21T17:33:16.405Z","P.P.H.U AWIST","3678"
"199.188.93.163","elite","AS64200","US","199","Vivid-hosting LLC","9000","socks5","1","100","8817","8832","2025-01-21T17:33:16.302Z","Vivid-hosting LLC","4008"
